"area","ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
"ciencias-humanas",2021,46," "," Considerando as informações apresentadas, o prédio do Congresso Nacional, em Brasília, no dia 21 de junho, às 12 horas, projetará sua sombra para a direção ","norte","sul","leste","oeste ","nordeste","B","enem-data/enem-2021/46-images/context_img_0.png"
"ciencias-humanas",2021,47," EIGENHEER, E. M. Lixo: a limpeza urbana através dos tempos. Porto Alegre: Gráfica Palloti, 2009. Texto II A repugnante tarefa de carregar lixo e os dejetos da casa para as praças e praias era geralmente destinada ao único escravo da família ou ao de menor status ou valor. Todas as noites, depois das dez horas, os escravos conhecidos popularmente como “tigres” levavam tubos ou barris de excremento e lixo sobre a cabeça pelas ruas do Rio. KARACH, M. C. A vida dos escravos no Rio de Janeiro, 1808-1850. Rio de Janeiro: Cia. das letras, 2000. "," A ação representada na imagem e descrita no texto evidencia uma prática do cotidiano nas cidades no Brasil nos séculos XVIII e XIX caracterizada pela ","valorização do trabalho braçal.","reiteração das hierarquias sociais.","sacralização das atividades laborais.","superação das exclusões econômicas.","ressignificação das heranças religiosas.","B",""
"ciencias-humanas",2021,48," O torém dependia de organização familiar, sendo brincado por pessoas com vínculos de parentesco e afinidade que viviam no local. Era visto como uma brincadeira, um entretenimento feito para os próprios participantes e seus conhecidos. O tempo do caju era o pretexto para sua realização, sendo chamadas várias pessoas da região a fim de tomar mocororó, bebida fermentada do caju. VALLE, C. G. O. Torém/Toré: tradições e invenção no quadro de multiplicidade étnica do Ceará contemporâneo. In: GRUNEWALD, R. A. (Org.). Toré: regime encantado dos índios do Nordeste. Recife: Fundaj-Massangana, 2005. "," O ritual mencionado no texto atribui à manifestação cultural de grupos indígenas do Nordeste brasileiro a função de ","celebrar a história oficial.","estimular a coesão social.","superar a atividade artesanal.","manipular a memória individual.","modernizar o comércio tradicional.","B",""
"ciencias-humanas",2021,49,"Escravo fugido No dia 8 de Outubro do anno proximo passado fugio da fazenda do Bom Retiro, pro- priedade do dr. Francisco Antonio de Araújo, o escravo José, pardo claro, de 22 annos de idade, estatura regular, cheio de corpo, com a falta de um dente na frente do lado supe- rior, cabellos avermelhados, orelha roxa, falla macia, e andar vagaroso. Intitula-se forro, e quando fugio a primeira vez esteve contratado como camarada em uma fazenda em Capivary. Quem o aprehender e entregar ao seu se- nhor no Amparo, ou o recolher a cadêa em qualquer parte será bem gratificado, e protesta-se com todo o rigor da lei contra quem o ac outar. Escravo fugido. Jornal Correio Paulistano, 13 de abril de 1879. Disponível em: http://bndigital.bn.gov.br. Acesso em: 2 ago. 2019 (adaptado).","No anúncio publicado na segunda metade do século XIX, qual a estratégia de resistência escrava apresentada?","Criação de relações de trabalho.","Fundação de territórios quilombolas.","Suavização da aplicação de normas.","Regularização das funções remuneradas.","Constituição de economia de subsistência.","A",""
"ciencias-humanas",2021,50," A filosofia é como uma árvore, cujas raízes são a metafísica; o tronco, a física, e os ramos que saem do tronco são todas as outras ciências, que se reduzem a três principais: a medicina, a mecânica e a moral, entendendo por moral a mais elevada e a mais perfeita porque pressupõe um saber integral das outras ciências, e é o último grau da sabedoria. DESCARTES, R. Princípios da filosofia. Lisboa: Edições 70, 1997 (adaptado). "," Essa construção alegórica de Descartes, acerca da condição epistemológica da filosofia, tem como objetivo ","sustentar a unidade essencial do conhecimento.","refutar o elemento fundamental das crenças.","impulsionar o pensamento especulativo.","recepcionar o método experimental.","incentivar a suspensão dos juízos.","A",""
"ciencias-humanas",2021,51," Minha fórmula para o que há de grande no individuo é amor fati: nada desejar além daquilo que é, nem diante de si, nem atrás de si, nem nos séculos dos séculos. Não se contentar em suportar o inelutável, e ainda menos dissimula-lo, mas amá-lo. NIETZSCHE apud FERRY, L. Aprender a viver: filosofia para os novos tempos. Rio de Janeiro: Objetiva, 2010 (adaptado). "," Essa fórmula indicada por Nietzsche consiste em uma crítica à tradição cristã que ","combate as práticas sociais de cunho afetivo.","impede o avanço científico no contexto moderno.","associa os cultos pagãos à sacralização da natureza.","condena os modelos filosóficos da Antiguidade Clássica."," consagra a realização humana ao campo transcendental.","E",""
"ciencias-humanas",2021,52," É preciso usar de violência e rebater varonilmente os apetites dos sentidos sem atender ao que a carne quer ou não quer, mas trabalhando por sujeitá-la ao espírito, ainda que se revolte. Cumpre castigá-la e curvá-la à sujeição, a tal ponto que esteja disposta para tudo, sabendo contentar-se com pouco e deleitar-se com a simplicidade, sem resmungar por qualquer incômodo. KEMPIS, T. Imitação de Cristo. Petrópolis: Vozes, 2015 "," Qual característica do ascetismo medieval é destacada no texto? ","Exaltação do ritualismo litúrgico.","Afirmação do pensamento racional.","Desqualificação da atividade laboral."," Condenação da alimentação impura."," Desvalorização da materialidade corpórea.","E",""
"ciencias-humanas",2021,53," Numa sociedade em transição, a marcha da mudança, em diferentes graus, está impressa em todos os aspectos da ordem social, especialmente no jogo político, que nessas sociedades sempre apresenta padrões característicos de ambivalência, cujas raízes sociais se encontram na coexistência de dois padrões de estrutura social: o padrão tradicional, em declínio, e o novo, emergente, em expansão. Em tais situações, é possível encontrar, simultaneamente, apoio para uma orientação política ou para outra que seja exatamente o oposto. O padrão ambivalente do processo político, nas sociedades em desenvolvimento, é o que explica um dos seus trações mais salientes, e que consiste na tendência ao adiamento das grandes decisões. Resulta dai que a inércia política ou a convulsão política pode se suceder uma à outra em períodos surpreendentemente curtos. PINTO, L, A. C. Sociologia e desenvolvimento. Rio de Janeiro: Civilização Brasileira. 1975 (adaptado). "," De acordo com a perspectiva apresentada, central no pensamento social brasileiro dos anos 1950 e 1960, o desenvolvimento do país foi marcado por ","radicalidade nas agendas de reforma das elites dirigentes.","anomalias na execução dos planos econômicos ortodoxos. ","descompassos na construção de quadros institucionais modernos. ","ilegitimidade na atuação dos movimentos de representação classista. ","vagarosidade na dinâmica de aperfeiçoamento dos programas partidários. ","C",""
"ciencias-humanas",2021,54," Manifesto dos Pioneiros da Educação Nova – 1932 A Educação Nova, alargando a sua finalidade para além dos limites das classes, assume, com uma feição mais humana, a sua verdadeira função social, preparando-se para formar “a hierarquia democrática” pela “hierarquia das capacidades”, recrutadas em todos os grupos sociais, a que se abrem as mesmas oportunidades de educação. Ela tem, por objeto, organizar e desenvolver os meios de ação durável com o fim de “dirigir os desenvolvimentos natural e integral do ser humano em cada uma das etapas de seu crescimento”, de acordo com uma certa concepção do mundo. Disponível em: www.histedbr.fe.unicamp.br. Acesso em: 7 out. 2015. "," Os autores do manifesto citado procuravam contrapor-se ao caráter oligárquico da sociedade brasileira. Nesse sentido, o trecho propõe uma relação necessária entre ","ensino técnico e mercado de trabalho. ","acesso à escola e valorização do mérito. ","ampliação de vagas e formação de gestores.","disponibilidade de financiamento e pesquisa avançada.","remuneração de professores e extinção do analfabetismo. ","B",""
"ciencias-humanas",2021,55," Sócrates: “Quem não sabe o que uma coisa é, como poderia saber de que tipo de coisa ela é? Ou te parece ser possível alguém que não conhece absolutamente quem é Mênon, esse alguém saber se ele é belo, se é rico e ainda se é nobre? Parece-te ser isso possível? Assim, Mênon, que coisa afirmas ser a virtude?”. PLATÃO. Mênon. Rio de Janeiro: PUC-RIO; São Paulo: Loyola, 2001 (adaptado). "," A atitude apresentada na interlocução do filósofo com Mênon é um exemplo da utilização do(a) ","escrita epistolar ","método dialético","linguagem trágica","explicação fisicalista","suspensão judicativa","B",""
