"area","ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
"ciencias-natureza",2021,91," A deficiência de lipase ácida lisossômica é uma doença hereditária associada a um gene do cromossomo 10. Os pais dos pacientes podem não saber que são portadores dos genes da doença até o nascimento do primeiro filho afetado. Quando ambos os progenitores são portadores, existe uma chance, em quatro, de que seu bebê possa nascer com essa doença. ANDERSON, R. A. et. al. In: Situ Localization of the Genetic Locus Encoding the Lysosomal Acid Lipase/Cholesteryl Esterase (LIPA) Deficient in Wolman Disease to Chromosome 10q23.2-q23.3. Genomics, n. 1, jan, 1993 (adaptado). "," Essa é uma doença hereditária de caráter ","recessivo.","dominante.","codominante.","poligênico.","polialélico.","A",""
"ciencias-natureza",2021,92," O quadro lista alguns dispositivos eletrônicos que estão presentes no dia a dia, bem como a faixa de força eletromotriz necessária ao seu funcionamento. Considere que uma bateria é construída pela associação em série de três pilhas de lítio-iodo, nas condições-padrão, conforme as semiequações de redução apresentadas.   "," Essa bateria é adequada para o funcionamento de qual dispositivo eletrônico? ","I","II","III","IV","V","D","enem-data/enem-2021/92-images/context_img_0.png,enem-data/enem-2021/92-images/context_img_1.png"
"ciencias-natureza",2021,93," O alcoolômetro Gay Lussac é um instrumento destinado a medir o teor de álcool, em porcentagem de volume (v/v), de soluções de água e álcool na faixa de 0º GL a 100ºGL, com divisões de 0,1ºGL. A concepção do alcoolômetro se baseia no princípio de flutuabilidade de Arquimedes, semelhante ao funcionamento de um densímetro. A escala do instrumento é aferida a 20ºC, sendo necessária a correção da medida, caso a temperatura da solução não esteja na temperatura de aferição. É apresentada parte da tabela de correção de um alcoolômetro, com a temperatura. Manual alcoolômetro Gay Lussac. Disponível em: www.incoterm.com.br. Acesso em: 4 dez. 2018 (adaptado). "," É necessário a correção da medida do instrumento, pois um aumento na temperatura promove o(a) ","aumento da dissociação da água.","aumento da densidade da água e do álcool.","mudança do volume dos materiais por dilatação.","aumento da concentração de álcool durante a medida.","alteração das propriedades químicas da mistura álcool e água.","C","enem-data/enem-2021/93-images/context_img_0.png"
"ciencias-natureza",2021,94," O Prêmio Nobel de Química de 2000 deveu-se à descoberta e ao desenvolvimento de polímeros condutores. Esses materiais têm ampla aplicação em novos dispositivos eletroluminescentes (LEDs), células fotovoltaicas etc. Uma propriedade-chave de um polímero condutor é a presença de ligações duplas conjugadas ao longo da cadeia principal do polímero. ROCHA FILHO, R. C. Polímeros condutores: descoberta e aplicações. Química Nova na Escola. n. 12, 2000 (adaptado). "," Um exemplo desse polímero é representado pela estrutura ","enem-data/enem-2021/94-images/alt_img_0.png","enem-data/enem-2021/94-images/alt_img_1.png","enem-data/enem-2021/94-images/alt_img_2.png","enem-data/enem-2021/94-images/alt_img_3.png","enem-data/enem-2021/94-images/alt_img_4.png","D",""
"ciencias-natureza",2021,95," Estudo aponta que a extinção de preguiças-gigantes, cuja base da dieta eram frutos e sementes, provocou impactos consideráveis na vegetação do Pantanal brasileiro. A flora, embora não tenha desaparecido, tornou-se menos abundante que no passado, além de ocupar áreas mais restritas. BICUDO, F. Jardineiro da pesada. Ecologia. Pesquisa Fapesp, ed. 231, maio 2015 (adaptado). "," O evento descrito com a flora ocorreu em razão da redução ","da produção de flores.","do tamanho das plantas.","de fatores de disseminação das sementes.","da quantidade de semente por fruto.","dos hábitats disponíveis para as plantas.","C",""
"ciencias-natureza",2021,96," Carros elétricos estão cada vez mais baratos, no entanto, os órgãos governamentais e a indústria se preocupam com o tempo de recarga das baterias, que é muito mais  lento quando comparado ao tempo gasto para encher o tanque de combustível. Portanto, os usuários de transporte individual precisam se conscientizar dos ganhos ambientais dessa mudança e planejar com antecedência seus percursos, pensando em pausas necessárias para recargas. Após realizar um percurso de 110km, um motorista pretende recarregar as baterias de seu carro elétrico, que tem um desempenho médio de 5,0 km/kWh, usando um carregador ideal que opera a uma tensão de 220 V e é percorrido por uma corrente de 20 A. "," Quantas horas são necessárias para recarregar a energia utilizadas nesse percurso? ","0,005 ","0,125 ","2,5 ","5,0","8,0 ","D",""
"ciencias-natureza",2021,97," Nas angiospermas, além da fertilização da oosfera, existe uma segunda fertilização que resulta num tecido triploide. "," Essa segunda fertilização foi importante evolutivamente, pois viabilizou a formação de um tecido de ","nutrição para o fruto.","reserva para o embrião.","revestimento para a semente.","proteção para o megagametófito.","vascularização para a planta jovem.","B",""
"ciencias-natureza",2021,98," Com o objetivo de proporcionar aroma e sabor a diversos alimentos, a indústria alimentícia se utiliza de flavorizantes. Em geral, essas substâncias são ésteres, como as apresentadas no quadro. "," O aroma do flavorizante derivado do ácido etanoico e que apresenta cadeia carbônica saturada é de ","kiwi.","banana.","pêssego.","rum.","uva.","B","enem-data/enem-2021/98-images/context_img_0.png"
"ciencias-natureza",2021,99," O eletrocardiograma é um exame cardíaco que mede a intensidade dos sinais elétricos advindo do coração. "," De acordo com o eletrocardiograma apresentado, qual foi o número de batimentos cardíacos por minuto desse paciente durante o exame? ","30","60","100","120","180","B","enem-data/enem-2021/99-images/context_img_0.png"
"ciencias-natureza",2021,100," Entre 2014 e 2016, as regiões central e oeste da África sofreram um grave epidemia de febre hemorrágica causada pelo vírus ebola, que se manifesta em até 21 dias após a infecção e cuja taxa de letalidade (enfermos que vão a óbito) pode chegar a 90%. Em regiões de clima tropical e subtropical, um outro vírus também pode causar febre hemorrágica: o vírus da dengue, que, embora tenha período de incubação menor (até 10 dias), apresenta taxa de letalidade abaixo de 1%. Disponível em: www.who.int. Acesso em: 1 fev. 2017 (adaptado).   "," Segundo as informações do texto e aplicando princípios de evolução biológica às relações do tipo patógeno-hospedeiro, qual dos dois vírus infecta seres humanos há mais tempo? ","Ebola, pois o maior período de incubação reflete duração mais longa do processo de coevolução patógeno-hospedeiro.","Dengue, pois o menor período de incubação reflete duração mais longa do processo de coevolução patógeno-hospedeiro.","Ebola, cuja alta letalidade indica maior eficiência do vírus em parasitar seus hospedeiros, estabelecida ao longo de sua evolução.","Ebola, cujos surtos epidêmicos concentram-se no continente africano, reconhecido como berço da origem evolutiva dos seres humanos.","Dengue, cuja baixa letalidade indica maior eficiência do vírus em parasitar seus hospedeiros, estabelecida ao longo da coevolução patógeno-hospedeiro.","E",""
