"area","ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
"ciencias-natureza",2016,46," Uma ambulância A em movimento retílineo e uniforme aproxima-se de um observador O, em repouso. A sirene emite um som de frequência constante fA . O desenho ilustra as frentes de onda do som emitido pela ambulância. O observador possui um detector que consegue registrar, no esboço de um gráfico, a frequência da onda sonora detectada em função do tempo fO (t), antes e depois da passagem da ambulância por ele."," Qual esboço gráfico representa a frequência fo (t) detectada pelo observador? ","enem-data/enem-2016/46-images/alt_img_0.png","enem-data/enem-2016/46-images/alt_img_1.png","enem-data/enem-2016/46-images/alt_img_2.png","enem-data/enem-2016/46-images/alt_img_3.png","enem-data/enem-2016/46-images/alt_img_4.png","D","enem-data/enem-2016/46-images/context_img_0.png"
"ciencias-natureza",2016,47," O benzeno, um importante solvente para a indústria química, é obtido industrialmente pela destilação do petróleo. Contudo, também pode ser sintetizado pela trimerização do acetileno catalisada por ferro metálico sob altas temperaturas, conforme a equação química: 3 C2 H2 (g) → C6 H6 (l) A energia envolvida nesse processo pode ser calculada indiretamente pela variação de entalpia das reações de combustão das substâncias participantes, nas mesmas condições experimentais: I.II.C2 H2 (g) + 5 2 O2 (g) → 2 CO2 (g) + H2  O (l) C6 H6 (l) + 15 2 O2 (g) → 6 CO2 (g) + 3 H2 O (l)∆Hc° = −310 kcal/mol∆Hc° = −780 kcal/mol ","A variação de entalpia do processo de trimerização, em kcal, para a formação de um mol de benzeno é mais próxima de ","−1 090.","−150.","−50.","+157.","+470.","B",""
"ciencias-natureza",2016,48," A vegetação apresenta adaptações ao ambiente, como plantas arbóreas e arbustivas com raízes que se expandem horizontalmente, permitindo forte ancoragem no substrato lamacento; raízes que se expandem verticalmente, por causa da baixa oxigenação do substrato; folhas que têm glândulas para eliminar o excesso de sais; folhas que podem apresentar cutícula espessa para reduzir a perda de água por evaporação. "," As características descritas referem-se a plantas adaptadas ao bioma: ","Cerrado.","Pampas.","Pantanal.","Manguezal.","Mata de Cocais.","D",""
"ciencias-natureza",2016,49," Uma pessoa é responsável pela manutenção de uma sauna úmida. Todos os dias cumpre o mesmo ritual: colhe folhas de capim-cidreira e algumas folhas de eucalipto. Em seguida, coloca as folhas na saída do vapor da sauna, aromatizando-a, conforme mostrado na figura. "," Qual processo de separação é responsável pela aromatização promovida? ","Filtração simples.","Destilação simples.","Extração por arraste.","Sublimação fracionada.","Decantação sólido-líquido.","C","enem-data/enem-2016/49-images/context_img_0.png"
"ciencias-natureza",2016,50," Os ecossistemas degradados por intensa atividade agrícola apresentam geralmente, diminuição de sua a estabilidade. Nesse contexto, o uso integrado de árvores aos sistemas agrícolas (sistemas agroflorestais) pode cumprir um papel inovador ao buscar a aceleração do processo sucessional e, ao mesmo tempo, uma produção escalonada e diversificada. Disponível em: saf.cnpgc.embrapa.br. Acesso em 21 jan. 2012 (adaptado) "," Essa é uma estratégia de conciliação entre recuperação ambiental e produção agrícola, pois ","substitui gradativamente as espécies cultiváveis por espécies arbóreas.","intensifica a fertilização do solo com o uso de técnicas apropriadas e biocidas.","promove maior diversidade de vida no solo como aumento da matéria orgânica.","favorece a dispersão das sementes cultivadas pela fauna residente nas áreas florestais.","cria condições para o estabelecimento de espécies pioneiras com a diminuição da insolação sobre o solo.","C",""
"ciencias-natureza",2016,51," Três lâmpadas idênticas foram ligadas no circuito esquematizado. A bateria apresenta resistência interna desprezível, e os fios possuem resistência nula. Um técnico fez uma análise do circuito para prever a corrente elétrica nos pontos: A, B, C, D e E; e rotulou essas correntes de IA, IB, IC, ID e IE, respectivamente."," O técnico concluiu que as correntes que apresentam o mesmo valor são ","IA = IE e IC = ID.","IA = IB = IE e IC = ID.","IA = IB, apenas.","IA = IB = IE, apenas.","IC = IB, apenas.","A","enem-data/enem-2016/51-images/context_img_0.png"
"ciencias-natureza",2016,52,"Um pesquisador investigou o papel da predação por peixes na densidade e tamanho das presas, como possível controle de populações de espécies exóticas em costões rochosos. No experimento colocou uma tela sobre uma área da comunidade, impedindo o acesso dos peixes ao alimento, e comparou o resultado com uma área adjacente na qual os peixes tinham acesso livre. O quadro apresenta os resultados encontrados após 15 dias de experimento.","O pesquisador concluiu corretamente que os peixes controlam a densidade dos(as)","algas, estimulando seu crescimento.","cracas, predando especialmente animais pequenos.","mexilhões, predando especialmente animais pequenos.","quatro espécies testadas, predando indivíduos pequenos.","ascídias, apesar de não representarem os menores organismos.","C",""
"ciencias-natureza",2016,53,"Ao percorrer o trajeto de uma cadeia alimentar, o carbono, elemento essencial e majoritário da matéria orgânica que compõe os indivíduos, ora se encontra em sua forma inorgânica, ora se encontra em sua forma orgânica. Em uma cadeia alimentar composta por fitoplâncton, zooplâncton, moluscos, crustáceos e peixes ocorre a transição desse elemento da forma inorgânica para a orgânica.","Em qual grupo de organismos ocorre essa transição?","Fitoplâncton.","Zooplâncton.","Moluscos.","Crustáceos.","Peixes.","A",""
"ciencias-natureza",2016,54,"Dois veículos que trafegam com velocidade constante em uma estrada, na mesma direção e sentido, devem manter entre si uma distância mínima. Isso porque o movimento de um veículo, até que ele pare totalmente, ocorre em duas etapas, a partir do momento em que o motorista detecta um problema que exige uma freada brusca. A primeira etapa é associada à distância que o veículo percorre entre o intervalo de tempo da detecção do problema e o acionamento dos freios. Já a segunda se relaciona com a distância que o automóvel percorre enquanto os freios agem com desaceleração constante."," Considerando a situação descrita, qual esboço gráfico representa a velocidade do automóvel em relação à distância percorrida até parar totalmente?","","","","","","D",""
"ciencias-natureza",2016,55," As proteínas de uma célula eucariótica possuem peptídeos sinais, que são sequências de aminoácidos responsáveis pelo seu endereçamento para as diferentes organelas, de acordo com suas funções. Um pesquisador desenvolveu uma nanopartícula capaz de carregar proteínas para dentro de tipos celulares específicos. Agora ele quer saber se uma nanopartícula carregada com uma proteína bloqueadora do ciclo de Krebs in vitro é capaz de exercer sua atividade em uma célula cancerosa, podendo cortar o aporte energético e destruir essas células. "," Ao escolher essa proteína bloqueadora para carregar as nanopartículas, o pesquisador deve levar em conta um peptídeo sinal de endereçamento para qual organela? ","Núcleo.","Mitocôndria.","Peroxissomo.","Complexo golgiense.","Retículo endoplasmático.","B",""
"ciencias-natureza",2016,56,"O morcego emite pulsos de curta duração de ondas ultrassônicas, os quais voltam na forma de ecos após atingirem objetos no ambiente, trazendo informações a respeito das suas dimensões, suas localizações e dos seus possíveis movimentos. Isso se dá em razão da sensibilidade do morcego em detectar o tempo gasto para os ecos voltarem, bem como das pequenas variações nas frequências e nas intensidades dos pulsos ultrassônicos. Essas características lhe permitem caçar pequenas presas mesmo quando estão em movimento em relação a si. Considere uma situação unidimensional em que uma mariposa se afasta, em movimento retilíneo e uniforme, de um morcego em repouso."," A distância e velocidade da mariposa, na situação descrita, seriam detectadas pelo sistema de um morcego por quais alterações nas características dos pulsos ultrassônicos? ","Intensidade diminuída, o tempo de retorno aumentado e a frequência percebida diminuída."," Intensidade aumentada, o tempo de retorno diminuído e a frequência percebida diminuída. "," Intensidade diminuída, o tempo de retorno diminuído e a frequência percebida aumentada. ","Intensidade diminuída, o tempo de retorno aumentado e a frequência percebida aumentada. ","Intensidade aumentada, o tempo de retorno aumentado e a frequência percebida aumentada.","A",""
"ciencias-natureza",2016,57," A minimização do tempo e custo de uma reação química, bem como o aumento na sua taxa de conversão, caracterizam a eficiência de um processo químico. Como consequência, produtos podem chegar ao consumidor mais baratos. Um dos parâmetros que mede a eficiência de uma reação química é o seu rendimento molar (R, em %), definido comoem que n corresponde ao número de mols. O metanol pode ser obtido pela reação entre brometo de metila e hidróxido de sódio, conforme a equação química: "," As massas molares (em g/mol) desses elementos são: H = 1; C = 12; O = 16; Na = 23; Br = 80. O rendimento molar da reação, em que 32 g de metanol foram obtidos a partir de 142,5 g de brometo de metila e 80 g de hidróxido de sódio, é mais próximo de ","22%.","40%.","50%.","67%.","75%.","D","enem-data/enem-2016/57-images/context_img_0.png,enem-data/enem-2016/57-images/context_img_1.png"
"ciencias-natureza",2016,58," Em sua formulação, o spray de pimenta contém porcentagens variadas de oleorresina de Capsicum, cujo princípio ativo é a capsaicina, e um solvente (um álcool como etanol ou isopropanol). Em contato com os olhos, pele ou vias respiratórias, a capsaicina causa um efeito inflamatório que gera uma sensação de dor e ardor, levando à cegueira temporária. O processo é desencadeado pela liberação de neuropeptídios das terminações nervosas. Como funciona o gás de pimenta. Disponível em: http://pessoas.hsw.uol.com.br. Acesso em: 1 mar. 2012 (adaptado). "," Quando uma pessoa é atingida com o spray de pimenta nos olhos ou na pele, a lavagem da região atingida com água é ineficaz porque a ","reação entre etanol e água libera calor, intensificando o ardor.","solubilidade do princípio ativo em água é muito baixa, dificultando a sua remoção.","permeabilidade da água na pele é muito alta, não permitindo a remoção do princípio ativo.","solubilização do óleo em água causa um maior espalhamento além das áreas atingidas.","ardência faz evaporar rapidamente a água, não permitindo que haja contato entre o óleo e o solvente.","B",""
"ciencias-natureza",2016,59," A usina de Itaipu é uma das maiores hidrelétricas do mundo em geração de energia. Com 20 unidades geradoras e 14 000 MW de potência total instalada, apresenta uma queda de 118,4 m e vazão nominal de 690 m³/s por unidade geradora. O cálculo da potência teórica leva em conta a altura da massa de água represada pela barragem, a gravidade local (10 m/s²) e a densidade da água (1 000 kg/m³). A diferença entre a potência teórica e a instalada é a potência não aproveitada. Disponível em: www.itaipu.gov.br. Acesso em: 11 maio 2013 (adaptado). "," Qual é a potência, em MW, não aproveitada em cada unidade geradora de Itaipu? ","1,18","116,96","816,96","13 183,04","","C",""
"ciencias-natureza",2016,60," A coleta das fezes dos animais domésticos em sacolas plásticas e o seu descarte em lixeiras convencionais podem criar condições de degradação que geram produtos prejudiciais ao meio ambiente (Figura 1).A Figura 2 ilustra o Projeto Park Spark, desenvolvido em Cambridge, MA (EUA), em que as fezes dos animais domésticos são recolhidas em sacolas biodegradáveis e jogadas em um biodigestor instalado em parques públicos; e os produtos são utilizados em equipamentos no próprio parque. "," Uma inovação desse projeto é possibilitar o(a) ","queima de gás metano.","armazenamento de gás carbônico.","decomposição aeróbica das fezes.","uso mais eficiente de combustíveis fósseis.","fixação de carbono em moléculas orgânicas.","A","enem-data/enem-2016/60-images/context_img_0.png,enem-data/enem-2016/60-images/context_img_1.png"
"ciencias-natureza",2016,61," Por apresentar significativa resistividade elétrica, o grafite pode ser utilizado para simular resistores elétricos em circuitos desenhados no papel, com o uso de lápis e lapiseiras. Dependendo da espessura e do comprimento das linhas desenhadas, é possível determinar a resistência elétrica de cada traçado produzido. No esquema foram utilizados três tipos de lápis diferentes (2H, HB e 6B) para efetuar três traçados distintos. Munido dessas informações, um estudante pegou uma folha de papel e fez o desenho de um sorvete de casquinha utilizando-se desses traçados. Os valores encontrados nesse experimento, para as resistências elétricas (R), medidas com o auxílio de um ohmímetro ligado nas extremidades das resistências, são mostrados na figura. Verificou-se que os resistores obedeciam à Lei de Ohm. "," Na sequência, conectou o ohmímetro nos terminais A e B do desenho e, em seguida, conectou-o nos terminais B e C, anotando as leituras RAB e RBC, respectivamente. Ao estabelecer a razão RAB / RBC, qual resultado o estudante obteve? ","1","4/7","10/27","14/81","4/81","B","enem-data/enem-2016/61-images/context_img_0.png,enem-data/enem-2016/61-images/context_img_1.png"
"ciencias-natureza",2016,62,"O carvão ativado é um material que possui elevado teor de carbono, sendo muito utilizado para a remoção de compostos orgânicos voláteis do meio, como o benzeno. Para a remoção desses compostos, utiliza-se a adsorção. Esse fenômeno ocorre por meio de interações do tipo intermoleculares entre a superfície do carvão (adsorvente) e o benzeno (adsorvato, substância adsorvida). "," No caso apresentado, entre o adsorvente e a substância adsorvida ocorre a formação de: "," Ligações dissulfeto. "," Ligações covalentes. "," Ligações de hidrogênio. "," Interações dipolo induzido – dipolo induzido. "," Interações dipolo permanente – dipolo permanente.","D",""
"ciencias-natureza",2016,63,"Portadores de diabetes insipidus reclamam da confusão feita pelos profissionais da saúde quanto aos dois tipos de diabetes: mellitus e insipidus. Enquanto o primeiro tipo está associado aos níveis ou à ação da insulina, o segundo não está ligado à deficiência desse hormônio. O diabetes insipidus é caracterizado por um distúrbio na produção ou no funcionamento do hormônio antidiurético (na sigla em inglês, ADH), secretado pela neuro-hipófise para controlar a reabsorção de água pelos túbulos renais. "," Tendo em vista o papel funcional do ADH, qual é um sintoma clássico de um paciente acometido por diabetes insipidus? "," Alta taxa de glicose no sangue. "," Aumento da pressão arterial. "," Ganho de massa corporal. "," Anemia crônica. "," Desidratação. ","E",""
"ciencias-natureza",2016,64,"A magnetohipertermia é um procedimento terapêutico que se baseia na elevação da temperatura das células de uma região específica do corpo que estejam afetadas por um tumor. Nesse tipo de tratamento, nanopartículas magnéticas são fagocitadas pelas células tumorais, e um campo magnético alternado externo é utilizado para promover a agitação das nanopartículas e consequente aquecimento da célula."," A elevação de temperatura descrita ocorre porque"," o campo magnético gerado pela oscilação das nanopartículas é absorvido pelo tumor. "," o campo magnético alternado faz as nanopartículas girarem, transferindo calor por atrito. "," as nanopartículas interagem magneticamente com as células do corpo, transferindo calor. "," o campo magnético alternado fornece calor para as nanopartículas que o transfere às células do corpo. "," as nanopartículas são aceleradas em um único sentido em razão da interação com o campo magnético, fazendo-as colidir com as células e transferir calor. ","B",""
"ciencias-natureza",2016,65," O aquecimento de um material por irradiação com micro-ondas ocorre por causa da interação da onda eletromagnética com o dipolo elétrico da molécula. Um importante atributo do aquecimento por micro-ondas é a absorção direta da energia pelo material a ser aquecido. Assim, esse aquecimento é seletivo e dependerá, principalmente, da constante dielétrica e da frequência de relaxação do material. O gráfico mostra a taxa de aquecimento de cinco solventes sob irradiação de micro-ondas. BARBOZA, A. C. R. N. et al. Aquecimento em forno de micro-ondas. Desenvolvimento de alguns conceitos fundamentais. Química Nova, n. 6, 2001 (adaptado). "," No gráfico, qual solvente apresenta taxa média de aquecimento mais próxima de zero, no intervalo de 0 s a 40 s? ","H2O","CH3OH","CH3CH2OH","CH3CH2CH2OH","CH3CH2CH2CH2CH2CH3","E","enem-data/enem-2016/65-images/context_img_0.png"
"ciencias-natureza",2016,66,"Apesar da grande diversidade biológica, a hipótese de que a vida na Terra tenha tido uma única origem comum é aceita pela comunidade científica. Uma evidência que apoia essa hipótese é a observação de processos biológicos comuns a todos os seres vivos atualmente existentes."," Um exemplo de tal processo é o(a) "," desenvolvimento embrionário. "," reprodução sexuada. "," respiração aeróbica."," excreção urinária. "," síntese proteica. ","E",""
"ciencias-natureza",2016,67," Em meados de 2003, mais de 20 pessoas morreram no Brasil após terem ingerido uma suspensão de sulfato de bário utilizada como contraste em exames radiológicos. O sulfato de bário é um sólido pouquíssimo solúvel em água, que não se dissolve mesmo na presença de ácidos. As mortes ocorreram porque um laboratório farmacêutico forneceu o produto contaminado com carbonato de bário, que é solúvel em meio ácido. Um simples teste para verificar a existência de íons bário solúveis poderia ter evitado a tragédia. Esse teste consiste em tratar a amostra com solução aquosa de HCl e, após filtrar para separar os compostos insolúveis de bário, adiciona-se solução aquosa de H2SO4 sobre o filtrado e observa-se por 30 minutos TUBINO, M.; SIMONI, J.A. Refletindo sobre o caso celobar® Química Nova, n. 2, 2007 (adaptado). "," A presença de íons bário solúveis na amostra é indicada pela ","liberação de calor.","alteração da cor para rosa.","precipitação de um sólido branco.","formação de gás hidrogênio.","volatilização de gás cloro.","C",""
"ciencias-natureza",2016,68,"Os feromônios são substâncias utilizadas na comunicação entre indivíduos de uma espécie. O primeiro feromônio isolado de um inseto foi o bombicol, substância produzida pela mariposa do bicho-da-seda. O uso de feromônios em ações de controle de insetos-praga está de acordo com o modelo preconizado para a agricultura do futuro. São agentes altamente específicos e seus compostos químicos podem ser empregados em determinados cultivos, conforme ilustrado no quadro. "," Considerando essas estruturas químicas, o tipo de estereoisomeria apresentada pelo bombicol é também apresentada pelo feromônio utilizado no controle do inseto ","Sitophilus spp.","Migdolus fryanus.","Anthonomus rubi.","Grapholita molesta.","Scrobipalpuloides absoluta.","E","enem-data/enem-2016/68-images/context_img_0.png,enem-data/enem-2016/68-images/context_img_1.png"
