"area","ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
"ciencias-natureza",2014,46," É comum aos fotógrafos tirar fotos coloridas em ambiente iluminados por lampadas fluorescentes, que contêm uma forte composição de luz verde. A consequências desse fato na fotografia é que todos os objetos claros, principalmente os brancos, aparecerão esverdeados. Para equilibrar as cores, deve-se usar um filtro adequado para diminuir a intensidade da luz verde que chega aos sensores da câmera fotográfica. Na escolha desse filtro, utiliza-se o conhecimento da composição das cores-luz primárias: vermelho, verde e azul; e das cores-luz secundárias: amarelo = vermelho + verde, ciano = verde + azul e magenta = vermelho + azul. Disponível em:http://nautilus.fis.uc.pt. Acesso em 20 maio 2014 (adaptado) "," Na situação descrita, qual deve ser o filtro utilizado para que a fotografia apresente as cores naturais dos objetos? ","Ciano.","Verde.","Amarelo.","Magenta.","Vermelho.","D",""
"ciencias-natureza",2014,47," Para impedir a contaminação microbiana do suprimento de água, deve-se eliminar as emissões de efluentes e, quando necessário, tratá-lo com desinfetante. O ácido hipocloroso (HClO), produzido pela reação entre cloro e água, é um dos compostos mais empregados como desinfetante. Contudo, ele não atua somente como oxidante, mas também como um ativo agente de cloração. A presença de matéria orgânica dissolvida no suprimento de água clorada pode levar à formação de clorofórmio (CHCl3) e outras espécies orgânicas cloradas tóxicas SPIRO, T. G.; STIGLIANI, W. M. Química ambiental. São Paulo: Pearson, 2009 (adaptado). "," Visando eliminar da água o clorofórmio e outras moléculas orgânicas, o tratamento adequado é a: ","filtração, com o uso de filtros de carvão ativo","fluoretação, pela adição de fluoreto de sódio","coagulação, pela adição de sulfato de alumínio.","correção do pH, pela adição de carbonato de sódio.","floculação, em tanques de concreto com a água em movimento.","A",""
"ciencias-natureza",2014,48,"Em um laboratório de genética experimental, observou-se que determinada bactéria continha um gene que conferia resistência a pragas específicas de plantas. Em vista disso, os pesquisadores procederam de acordo com a figura.  Disponível em: http://ciencia.hsw.uol.com.br. Acesso em: 22 nov. 2013 (adaptado). "," Do ponto de vista biotecnológico, como a planta representada na figura é classificada? "," Clone. "," Híbrida. "," Mutante. "," Adaptada. "," Transgênica. ","E",""
"ciencias-natureza",2014,49,"Visando minimizar impactos ambientais, a legislação brasileira determina que resíduos químicos lançados diretamente no corpo receptor tenham pH entre 5,0 e 9,0. Um resíduo líquido aquoso gerado em um processo industrial tem concentração de íons hidroxila igual a 1,0 × 10−10 mol/L. Para atender a legislação, um químico separou as seguintes substâncias, disponibilizadas no almoxarifado da empresa: CH3COOH, Na2SO4, CH3 OH,  K2 CO3 e NH4Cl. "," Para que o resíduo possa ser lançado diretamente no corpo receptor, qual substância poderia ser empregada  no ajuste do pH? "," CH3 COOH "," Na2 SO4 "," CH3 OH "," K2 CO3 "," NH4 Cl ","D",""
"ciencias-natureza",2014,50," Grandes fontes de emissão do gás dióxido de enxofre são as indústrias de extração de cobre e níquel, em decorrência da oxidação dos minérios sulfurados. Para evitar a liberação desses óxidos na atmosfera e a consequente formação da chuva ácida, o gás pode ser lavado, em um processo conhecido como dessulfurização, conforme mostrado na equação (1). CaCO3(s) + SO2(g) → CaSO3(s) + CO2(g) (1) Por sua vez, o sulfito de cálcio formado por ser oxidado, com o auxílio do ar atmosférico, para a obtenção do sulfato de cálcio, como mostrado na equação (2). Essa etapa é de grande interesse porque o produto da reação, popularmente conhecido como gesso, é utilizado para fins agrícolas. 2 CaSO3(s) + O2(g) → 2CaSO4(s) (2) As massas molares dos elementos carbono, oxigênio, enxofre e cálcio são iguais a 12 g/mol, 16 g/mol, 32 g/mol e 40 g/mol, respectivamente. BAIRD, C. Química ambiental. Porto Alegre: Bookman, 2002 (adaptado). "," Considerando um rendimento de 90% no processo, a massa de gesso obtida, em gramas, por mol de gás retido é mais próxima de ","64.","108.","122.","136.","245.","C",""
"ciencias-natureza",2014,51," Na década de 1990, células do cordão umbilical de recém-nascidos humanos começaram a ser guardadas por criopreservação, uma vez que apresentam alto potencial terapêutico em consequência de suas características peculiares. "," O poder terapêutico dessas células baseia-se em sua capacidade de ","multiplicação lenta.","comunicação entre células.","adesão a diferentes tecidos.","diferenciação em células especializadas.","reconhecimento de células semelhantes.","D",""
"ciencias-natureza",2014,52," As lentes fotocromáticas escurecem quando expostas à luz solar por causa de reações químicas reversíveis entre uma espécie incolor e outra colorida. Diversas reações podem ser utilizadas, e a escolha do melhor reagente para esse fim se baseia em três principais aspectos: (i) o quanto escurece a lente; (ii) o tempo de escurecimento quando exposta à luz solar; e (iii) o tempo de esmaecimento em ambiente sem forte luz solar. A transmitância indica a razão entre a quantidade de luz que atravessa o meio e a quantidade de luz que incide sobre ele. Durante um teste de controle para o desenvolvimento de novas lentes fotocromáticas, foram analisadas cinco amostras, que utilizam reagentes químicos diferentes. No quadro, são apresentados os resultados. "," Considerando os três aspectos, qual é a melhor amostra de lente fotocromática para se utilizar em óculos? ","1","2","3","4","5","C","enem-data/enem-2014/52-images/context_img_0.png"
"ciencias-natureza",2014,53,"Para entender os movimentos dos corpos, Galileu discutiu o movimento de uma esfera de metal em dois planos inclinados sem atritos e com a possibilidade de se alterarem os ângulos de inclinação, conforme mostra a figura. Na descrição do experimento, quando a esfera de metal é abandonada para descer um plano inclinado de um determinado nível, ela sempre atinge, no plano ascendente, no máximo, um nível igual àquele em que foi abandonada. Galileu e o plano inclinado. Disponível em: www.fisica.ufpb.br. Acesso em: 21 ago. 2012 (adaptado)."," Se o ângulo de inclinação do plano de subida for reduzido a zero, a esfera ","manterá sua velocidade constante, pois o impulso resultante sobre ela será nulo.","manterá sua velocidade constante, pois o impulso da descida continuará a empurrá-la.","diminuirá gradativamente a sua velocidade, pois não haverá mais impulso para empurrá-la.","diminuirá gradativamente a sua velocidade, pois o impulso resultante será contrário ao seu movimento.","aumentará gradativamente a sua velocidade, pois não haverá nenhum impulso contrário ao seu movimento.","A","enem-data/enem-2014/53-images/context_img_0.png"
"ciencias-natureza",2014,54," Uma proposta de dispositivo capaz de indicar a qualidade da gasolina vendida em postos e, consequentemente, evitar fraudes, poderia utilizar o conceito de refração luminosa. Nesse sentido, a gasolina não adulterada, na temperatura ambiente, apresenta razão entre os senos dos raios incidente e refratado igual a 1,4. Desse modo, fazendo incidir o feixe de luz proveniente do ar com um angulo fixo e maior que zero, qualquer modificação no angulo do feixe refratado indicará adulteração no combustível. "," Em uma fiscalização rotineira, o teste apresentou o valor de 1,9. Qual foi o comportamento do raio refratado? ","Mudou de sentido.","Sofreu reflexão total.","Atingiu o valor do ângulo limite.","Direcionou-se para a superfície de separação.","Aproximou-se da normal à superfície de separação.","E",""
"ciencias-natureza",2014,55,"A forma das moléculas, como representadas no papel, nem sempre é planar. Em um determinado fármaco, a molécula contendo um grupo não planar é biologicamente ativa, enquanto moléculas contendo substituintes planares são inativas."," O grupo responsável pela bioatividade desse fármaco é","","","","","","A",""
