"ano","numero","texto","comando","A","B","C","D","E","resposta","imagem"
2011,"136","Um mecânico de uma equipe de corrida necessita que as seguintes medidas realizadas em um carro sejam obtidas em metros: a) distância a entre os eixos dianteiro e traseiro; b) altura b entre o solo e o encosto do piloto.","Ao optar pelas medidas a e b em metros, obtêm-se, respectivamente,","0,23 e 0,16.","2,3 e 1,6.","23 e 16.","230 e 160.","2 300 e 1 600.","B","enem-data/enem-2011/136-images/context_img_0.png"
2011,"137","O medidor de energia elétrica de uma residência, conhecido por “relógio de luz”, é constituído de quatro pequenos relógios, cujos sentidos de rotação estão indicados conforme a figura: A medida é expressa em kWh. O número obtido na leitura é composto por 4 algarismos. Cada posição do número é formada pelo último algarismo ultrapassado pelo ponteiro.","O número obtido pela leitura em kWh, na imagem, é","2 614.","2 624.","2 715.","2 725.","4 162.","A","enem-data/enem-2011/137-images/context_img_0.png"
2011,"138","O dono de uma oficina mecânica precisa de um pistão das partes de um motor, de 68 mm de diâmetro, para o conserto de um carro. Para conseguir um, esse dono vai até um ferro velho e lá encontra pistões com diâmetros iguais a 68,21 mm; 68,102 mm; 68,001 mm; 68,02 mm e 68,012 mm. Para colocar o pistão no motor que está sendo consertado, o dono da oficina terá de adquirir aquele que tenha o diâmetro mais próximo do que precisa.","Nessa condição, o dono da oficina deverá comprar o pistão de diâmetro","68,21 mm.","68,102 mm.","68,02 mm.","68,012 mm.","68,001 mm.","E",""
2011,"139","A Escala de Magnitude de Momento (abreviada como MMS e denotada como Mw), introduzida em 1979 por Thomas Haks e Hiroo Kanamori, substituiu a Escala de Richter para medir a magnitude dos terremotos em termos de energia liberada. Menos conhecida pelo público, a MMS é, no entanto, a escala usada para estimar as magnitudes de todos os grandes terremotos da atualidade. Assim como a escala Richter, a MMS é uma escala logarítmica. MW e M0 se relacionam pela fórmula: Onde M0 é o momento sísmico (usualmente estimado a partir dos registros de movimento da superfície, através dos sismogramas), cuja unidade é o dina⋅cm. O terremoto de Kobe, acontecido no dia 17 de janeiro de 1995, foi um dos terremotos que causaram maior impacto no Japão e na comunidade científica internacional. Teve magnitude MW = 7,3.U.S. GEOLOGICAL SURVEY. Historic Earthquakes.Disponível em: http://earthquake.usgs.gov. Acesso em: 1 maio 2010 (adaptado).","Mostrando que é possível determinar a medida por meio de conhecimentos matemáticos, qual foi o momento sísmico M0","10-5,10","10-0,73","1012,00","1021,65","1027,00","E","enem-data/enem-2011/139-images/context_img_0.png"
2011,"140","A figura seguinte mostra um modelo de sombrinha muito usado em países orientais.Disponível em: http://mdmat.psico.ufrgs.br. Acesso em: 1 maio 2010.","Esta figura é uma representação de uma superfície de revolução chamada de","pirâmide.","semiesfera.","cilindro.","tronco de cone.","cone.","E","--"
2011,"141","Em 2010, um caos aéreo afetou o continente europeu, devido à quantidade de fumaça expelida por um vulcão na Islândia, o que levou ao cancelamento de inúmeros voos. Cinco dias após o início desse caos, todo o espaço aéreo europeu acima de 6 000 metros estava liberado, com exceção do espaço aéreo da Finlândia. Lá, apenas voos internacionais acima de 31 mil pés estavam liberados.Disponível em: http://www1.folha.uol.com.br. Acesso em: 21 abr. 2010 (adaptado).Considere que 1 metro equivale a aproximadamente 3,3 pés.","Qual a diferença, em pés, entre as altitudes liberadas na Finlândia e no restante do continente europeu cinco dias após o início do caos?","3 390 pés","9 390 pés","11 200 pés","19 800 pés","50 800 pés","C",""
2011,"142","Em uma certa cidade, os moradores de um bairro carente de espaços de lazer reivindicam à prefeitura municipal a construção de uma praça. A prefeitura concorda com a solicitação e afirma que irá construí-la em formato retangular devido às características técnicas do terreno. Restrições de natureza orçamentária impõem que sejam gastos, no máximo, 180 m de tela para cercar a praça. A prefeitura apresenta aos moradores desse bairro as medidas dos terrenos disponíveis para a construção da praça: Terreno 1: 55 m por 45 m Terreno 2: 55 m por 55 m Terreno 3: 60 m por 30 m Terreno 4: 70 m por 20 m Terreno 5: 95 m por 85 m","Para optar pelo terreno de maior área, que atenda às restrições impostas pela prefeitura, os moradores deverão escolher o terreno.","1.","2.","3.","4.","5.","C","enem-data/enem-2011/142-images/context_img_0.png"
2011,"143","Sabe-se que a distância real, em linha reta, de uma cidade A, localizada no estado de São Paulo, a uma cidade B, localizada no estado de Alagoas, é igual a 2 000 km. Um estudante, ao analisar um mapa, verificou com sua régua que a distância entre essas duas cidades, A e B, era 8 cm.","Os dados nos indicam que o mapa observado pelo estudante está na escala de","1 : 250.","1 : 2 500.","1 : 25 000.","1 : 250 000.","1 : 25 000 000.","E",""
2011,"144","Uma indústria fabrica brindes promocionais em forma de pirâmide. A pirâmide é obtida a partir de quatro cortes em um sólido que tem a forma de um cubo. No esquema, estão indicados o sólido original (cubo) e a pirâmide obtida a partir dele.Os pontos A, B, C, D e O do cubo e da pirâmide são os mesmos. O ponto O é central na face superior do cubo. Os quatro cortes saem de O em direção às arestas AD, BC, AB e CD, nessa ordem. Após os cortes, são descartados quatro sólidos.","Os formatos dos sólidos descartados são","todos iguais.","todos diferentes.","três iguais e um diferente.","apenas dois iguais.","iguais dois a dois.","E","enem-data/enem-2011/144-images/context_img_0.png"
2011,"145","O consumo atingiu o maior nível da história no ano passado: os brasileiros beberam o equivalente a 331 bilhões de xícaras.Veja. Ed. 2158, 31 mar. 2010. Considere que a xícara citada na notícia seja equivalente a, aproximadamente, 120 mL de café. Suponha que em 2010 os brasileiros bebam ainda mais café, aumentando o consumo em 1/5 do que foi consumido no ano anterior. ","De acordo com essas informações, qual a previsão mais aproximada para consumo de café em 2010? ","8 bilhões de litros.","16 bilhões de litros.","32 bilhões de litros.","40 bilhões de litros.","48 bilhões de litros.","E",""
2011,"146","Você pode adaptar as atividades do seu dia a dia de uma forma que possa queimar mais calorias do que as gastas normalmente, conforme a relação seguinte: – Enquanto você fala ao telefone, faça agachamentos: 100 calorias gastas em 20 minutos.– Meia hora de supermercado: 100 calorias.– Cuidar do jardim por 30 minutos: 200 calorias.– Passear com o cachorro: 200 calorias em 30 minutos.– Tirar o pó dos móveis: 150 calorias em 30 minutos.– Lavar roupas por 30 minutos: 200 calorias.Disponível em: http://cyberdiet.terra.com.br. Acesso em: 27 abr. 2010 (adaptado).Uma pessoa deseja executar essas atividades, porém, ajustando o tempo para que, em cada uma, gaste igualmente 200 calorias.","A partir dos ajustes, quanto tempo a mais será necessário para realizar todas as atividades?","50 minutos.","60 minutos.","80 minutos.","120 minutos.","170 minutos.","B",""
2011,"147","Para uma atividade realizada no laboratório de Matemática, um aluno precisa construir uma maquete da quadra de esportes da escola que tem 28 m de comprimento por 12 m de largura. A maquete deverá ser construída na escala de 1 : 250.","Que medidas de comprimento e largura, em cm, o aluno utilizará na construção da maquete?","4,8 e 11,2","7,0 e 3,0","11,2 e 4,8","28,0 e 12,0","30,0 e 70,0","C",""
2011,"148","Uma equipe de especialistas do centro meteorológico de uma cidade mediu a temperatura do ambiente, sempre no mesmo horário, durante 15 dias intercalados, a partir do primeiro dia de um mês. Esse tipo de procedimento é frequente, uma vez que os dados coletados servem de referência para estudos e verificação de tendências climáticas ao longo dos meses e anos.As medições ocorridas nesse período estão indicadas no quadro:","Em relação à temperatura, os valores da média, mediana e moda são, respectivamente, iguais a","17°C, 17°C e 13,5°C.","17°C, 18°C e 13,5°C.","17°C, 13,5°C e 18°C.","17°C, 18°C e 21,5°C.","17°C, 13,5°C e 21,5°C.","B","enem-data/enem-2011/148-images/context_img_0.png"
